,eye_lashes,eye_lid,chin_length,eyebrow_weight,eyebrow_shape,eyebrow_thickness,face_shape,facial_hair,hair,eye_color,face_color,hair_color,glasses,glasses_color,eye_slant,eyebrow_width,eye_eyebrow_distance,image_name
67,1,0,0,1,11,3,4,3,63,4,5,4,11,1,0,1,0,cs10008922450463729427.png
68,1,1,1,0,7,1,6,5,14,1,0,3,6,2,0,1,1,cs10009352872467270837.png
69,1,1,0,0,7,3,5,0,91,2,2,1,7,6,0,0,1,cs10009425835903086631.png
70,0,0,2,0,9,2,0,3,5,0,7,9,11,0,2,0,2,cs10009487547179336670.png
71,0,0,1,1,8,2,0,5,6,1,10,7,1,4,0,1,0,cs10009611866157218967.png
72,0,0,2,0,9,1,2,14,56,4,7,0,11,5,2,0,2,cs10009673650581084591.png
73,1,0,2,0,12,1,3,14,59,2,6,2,11,2,1,1,2,cs10009824204083994855.png
74,1,0,2,1,10,3,6,12,40,3,9,6,3,0,1,0,2,cs10010106573502626307.png
75,0,1,0,1,6,1,5,14,100,4,5,2,10,1,1,2,0,cs10010111071064484973.png
76,0,0,2,0,4,2,3,0,84,4,5,2,5,0,0,0,2,cs10010969365713813822.png
77,0,1,0,1,6,0,1,12,39,0,7,6,0,0,1,2,1,cs10011422052417083765.png
78,1,0,2,0,3,0,4,14,104,1,6,6,6,6,2,1,0,cs10011433697268532975.png
79,1,0,1,0,9,0,2,8,84,3,3,4,2,0,1,2,1,cs10011435487372103557.png
80,1,0,2,1,12,1,3,14,91,3,1,6,11,5,2,1,2,cs10011744359495728066.png
81,0,0,2,0,11,0,4,12,48,3,8,1,11,6,0,2,1,cs10011811371292014735.png
82,1,0,0,1,1,2,2,8,1,4,7,7,11,6,1,2,1,cs10012529846450328984.png
83,0,0,2,0,0,1,5,0,110,3,6,6,11,2,0,1,0,cs10012541838490551681.png
84,0,0,1,0,3,0,3,14,96,3,6,8,11,0,1,0,1,cs10012571774755397887.png
85,0,0,1,1,10,1,5,14,13,3,8,8,11,1,0,2,2,cs10012832321095278697.png
86,0,0,2,1,13,2,5,14,22,4,9,7,1,6,1,2,0,cs1001284411639126213.png
87,0,1,2,0,7,0,0,14,109,3,2,8,4,4,1,2,1,cs10012972889335780045.png
88,1,1,0,1,1,0,4,14,56,3,4,3,11,2,0,1,2,cs10013054645039415280.png
89,0,0,0,0,0,0,5,14,79,1,7,3,5,4,1,2,0,cs10013122981449569681.png
90,1,1,0,0,13,0,6,14,81,1,3,0,6,2,0,0,2,cs10013129892725972897.png
91,0,1,2,1,7,1,4,9,12,0,3,6,6,1,2,0,0,cs10013476607216000954.png
92,1,1,2,0,2,0,0,12,47,2,4,2,2,0,0,2,2,cs10013706494991003476.png
93,1,0,0,0,6,0,6,13,4,3,9,0,9,5,0,0,0,cs10013737332978541113.png
94,1,1,1,0,8,1,2,14,66,2,0,9,7,1,0,0,2,cs10013761848423993647.png
95,1,0,2,0,2,3,4,14,58,1,0,4,7,3,0,2,2,cs10013852412478013469.png
96,0,1,2,1,3,0,6,14,19,0,9,5,8,2,2,0,1,cs10013871335048794934.png
97,1,1,0,0,13,0,2,14,108,4,7,6,11,3,1,1,0,cs10013980174569570280.png
98,0,1,0,0,12,3,3,4,72,4,2,3,11,3,2,0,2,cs10014297648199737483.png
99,1,0,1,1,12,0,1,14,77,4,1,4,1,2,2,2,1,cs10014358672969446118.png
100,1,1,0,1,4,3,1,13,75,1,2,1,6,1,1,0,1,cs10014622987619560404.png
101,0,0,2,0,9,3,0,14,107,4,3,2,7,3,2,2,1,cs10014823546903596325.png
102,0,0,2,1,7,3,3,14,18,2,7,2,11,1,1,2,2,cs1001489300911647233.png
103,1,0,0,1,5,1,4,14,77,0,6,5,2,2,2,1,2,cs10015038417801870022.png
104,0,0,2,0,3,3,6,14,89,2,4,9,10,0,1,1,2,cs10015120883998063508.png
105,0,1,1,0,8,2,6,13,82,2,10,1,9,0,1,0,2,cs1001518991733380912.png
106,1,1,0,1,4,1,3,14,2,3,7,1,8,0,1,1,2,cs10015347669269020684.png
107,1,0,1,0,4,1,4,3,57,3,0,3,11,0,1,1,0,cs10015485313696817801.png
108,0,1,2,1,5,1,1,3,60,1,1,4,5,3,1,0,1,cs10015619914598192239.png
109,1,0,1,0,6,0,2,9,44,4,10,7,11,5,1,2,0,cs10015744595751185021.png
110,1,0,2,1,3,3,0,14,105,4,2,3,5,6,0,0,0,cs10015751974903951454.png
111,0,1,1,0,0,0,6,14,28,0,8,4,8,6,1,2,0,cs10015836997162116202.png
112,1,0,1,1,10,2,2,14,53,2,2,8,3,3,0,1,0,cs1001619102541827673.png
113,0,1,0,0,7,1,6,9,81,1,3,2,5,5,1,0,0,cs10016294050420800434.png
114,1,1,1,0,0,2,1,9,11,1,1,2,11,0,2,2,1,cs10016447215310302288.png
115,0,0,1,0,1,1,6,10,45,2,2,7,2,2,2,0,2,cs10016566295505081678.png
116,0,1,1,0,4,3,3,5,76,3,3,3,11,6,2,2,0,cs10016625027848658603.png
117,0,0,2,1,12,3,1,12,32,1,1,1,4,4,0,1,2,cs10016674572352311225.png
118,0,0,1,0,13,3,6,14,30,0,7,6,11,4,0,1,0,cs10016687633452839413.png
119,1,1,0,1,1,1,5,13,18,0,2,8,7,3,1,2,0,cs10016794081263919125.png
120,1,1,2,0,3,2,5,14,16,3,10,9,6,3,1,2,0,cs10016991474244105179.png
121,0,1,0,0,4,2,4,14,55,3,3,7,11,4,2,0,0,cs10017148974274434209.png
122,1,1,2,1,8,0,1,13,34,0,10,2,0,2,1,1,2,cs10017160149868246741.png
123,0,0,0,1,3,0,2,6,8,3,0,1,11,6,0,1,0,cs10017545481460461377.png
124,1,0,1,1,5,3,5,4,28,4,9,7,11,2,1,0,0,cs10017571654009858817.png
125,0,0,0,1,9,0,2,14,4,2,5,9,8,0,0,0,0,cs10017767946906290339.png
126,1,0,1,1,3,2,1,3,100,2,8,9,11,4,0,1,1,cs10017812222848557823.png
127,0,0,0,0,5,3,0,0,99,4,8,6,0,2,2,1,2,cs10017928954453473821.png
128,0,1,0,1,6,1,1,14,12,1,10,3,4,6,2,0,2,cs10017932622078948795.png
129,1,0,0,0,7,1,6,4,34,1,10,7,10,2,1,2,2,cs10017938359443250253.png
130,1,0,2,0,11,2,4,10,106,3,3,4,8,2,2,1,0,cs10018103744830468522.png
131,0,1,2,1,10,1,3,14,13,1,6,2,11,1,0,0,2,cs10018160101776432791.png
132,1,1,2,1,12,3,4,11,14,1,6,0,1,0,0,0,0,cs10018350750468011483.png
133,0,0,1,0,0,0,2,0,46,2,1,2,2,0,0,0,0,cs10018402719409137993.png
134,1,0,2,1,0,2,5,14,44,0,4,6,7,3,1,2,2,cs10018691127690577262.png
135,0,0,0,0,1,1,1,2,71,1,8,0,9,0,2,0,1,cs10018723227853014312.png
136,1,1,1,0,2,0,2,14,85,3,8,6,11,3,0,0,0,cs10019649792940869752.png
137,1,0,1,0,6,1,5,13,73,3,7,6,11,4,1,1,0,cs10019710581442113471.png
138,0,0,0,0,4,1,4,10,76,1,9,9,0,0,0,1,1,cs10019801304976825800.png
139,1,1,0,1,2,0,4,14,94,4,10,3,11,6,0,0,2,cs10020000718369053111.png
140,0,0,2,1,9,0,3,13,84,1,7,2,1,3,2,1,0,cs10020277980971160063.png
141,1,1,2,1,3,0,6,14,38,3,4,4,5,1,1,0,1,cs1002093666427164858.png
142,1,0,0,0,13,3,1,1,12,3,7,7,11,1,2,1,1,cs10021204810807135522.png
143,0,0,2,0,13,3,3,14,77,1,4,5,5,4,1,0,2,cs10021252433720088499.png
144,1,0,1,0,2,0,2,14,41,3,6,4,2,3,1,0,2,cs10021353860308526358.png
145,0,0,2,1,1,0,0,14,19,3,4,2,11,1,2,1,0,cs100214067654451312.png
146,1,0,1,1,6,3,5,12,77,2,3,8,11,2,0,1,2,cs10021673244959065775.png
147,0,1,0,0,4,3,3,12,8,4,9,9,2,3,2,1,0,cs1002188099677231796.png
148,0,1,0,0,7,2,3,14,98,3,4,7,11,1,2,2,0,cs10021906307304221493.png
149,0,0,1,0,4,3,0,8,18,1,7,7,11,3,2,2,1,cs10022086692749527475.png
150,1,1,2,0,4,0,0,14,36,0,1,7,11,6,1,0,0,cs10022100404872892404.png
151,1,0,1,1,0,3,4,3,76,3,4,6,11,0,2,2,2,cs10022268844843795294.png
152,0,0,0,0,0,3,0,14,56,4,6,3,11,4,0,0,1,cs10022290186565315458.png
153,1,0,2,0,4,0,6,14,71,3,8,5,9,3,2,2,0,cs1002243958055190550.png
154,1,0,1,0,6,1,5,11,108,4,7,9,11,1,1,1,2,cs10022639719914885413.png
155,0,1,2,0,10,0,6,14,21,2,0,4,8,5,0,0,0,cs10022650575298807964.png
156,0,0,2,1,5,0,5,14,1,1,10,3,10,0,0,2,0,cs10022754460909200326.png
157,1,0,1,1,12,1,1,14,82,4,3,4,1,0,0,1,0,cs10022900832800133147.png
158,0,0,0,1,7,2,6,1,10,0,4,8,11,0,0,0,1,cs1002296031179444898.png
159,0,1,2,0,0,3,6,14,10,4,6,6,11,4,1,2,0,cs10024300855215873988.png
160,0,1,1,1,13,2,6,1,38,1,0,0,11,6,1,1,1,cs10024455427319308190.png
161,1,0,0,1,13,3,0,14,24,1,2,1,0,6,0,0,0,cs10024464511352920941.png
162,1,0,0,0,2,1,0,14,110,1,2,8,11,6,2,2,2,cs10024474140465834744.png
163,1,1,0,1,10,3,6,8,105,4,10,2,11,1,0,0,1,cs10024779099145978995.png
164,1,1,2,1,11,3,2,14,104,4,6,4,11,3,0,0,2,cs10025099739819663736.png
165,0,1,2,0,8,0,1,3,106,0,3,9,11,4,1,0,2,cs1002527184303700566.png
166,1,1,2,1,3,3,6,14,13,2,0,8,11,2,1,1,1,cs10025346971243876720.png
167,0,1,2,0,1,0,1,14,63,0,2,3,5,0,0,2,2,cs10025765810966142308.png
168,0,0,2,0,7,1,6,14,65,2,10,3,3,6,1,2,2,cs10025834662758688837.png
169,0,1,1,1,7,0,1,11,13,1,8,6,3,6,1,2,2,cs10026039551665920162.png
170,1,0,0,1,10,1,0,14,73,4,7,5,11,0,0,2,1,cs10026121417305977424.png
171,1,0,1,0,8,3,6,14,61,1,1,7,7,1,0,0,1,cs10026145134608357767.png
172,0,0,0,1,6,0,4,9,35,4,3,6,7,0,0,1,1,cs10026161647557252723.png
173,1,1,1,1,4,3,0,0,23,3,9,5,11,3,2,1,2,cs10026174301825289566.png
174,1,0,0,1,8,0,0,14,23,3,0,2,1,0,0,0,1,cs10026285113990096267.png
175,0,1,2,1,1,0,0,8,51,1,10,2,8,1,2,0,2,cs10026570629909510181.png
176,1,1,0,1,12,2,1,14,52,4,10,4,11,5,2,2,1,cs10026598098664504561.png
177,1,0,2,0,0,1,3,3,36,1,5,2,5,3,2,1,2,cs1002704731849706507.png
178,0,1,1,1,7,3,5,14,93,0,7,4,11,3,2,2,1,cs10027165526405979994.png
179,0,1,0,0,10,2,1,10,62,0,8,2,6,6,1,1,2,cs10027213698320454413.png
180,0,1,1,0,4,0,2,11,73,4,0,1,11,4,0,1,2,cs10027652290420878089.png
181,1,1,1,0,12,1,5,4,19,3,5,0,10,2,2,0,2,cs10027822878507394342.png
182,0,0,0,0,4,2,3,9,26,4,5,5,10,2,1,0,2,cs10027840676300154298.png
183,0,0,1,0,1,0,0,14,77,0,1,7,6,0,0,0,0,cs10027877343301002937.png
184,1,0,0,0,5,3,6,9,65,4,7,5,8,0,0,0,0,cs100279640926771550.png
185,1,0,2,0,6,1,0,14,94,3,5,1,6,4,2,2,2,cs10028079156054383079.png
186,0,1,0,0,6,3,0,1,54,1,8,9,11,1,1,2,2,cs10028574595503963476.png
187,1,0,1,1,8,0,0,14,75,2,1,8,11,6,1,0,2,cs10028653251683449416.png
188,1,1,0,0,8,1,5,14,58,1,7,8,11,0,0,1,0,cs10028724206874831297.png
189,0,1,0,1,2,0,3,9,108,0,8,9,2,3,2,2,0,cs10028846890875886157.png
190,1,1,2,1,13,3,1,5,66,0,3,1,8,3,2,2,0,cs10028933678611580456.png
191,1,1,2,1,2,1,4,14,102,2,1,8,11,1,1,1,1,cs10029255432906592320.png
192,0,0,0,0,7,3,3,12,35,4,2,8,11,1,2,1,1,cs10029481300020219161.png
193,1,0,0,0,5,1,5,13,104,4,10,7,2,6,2,0,0,cs10029729037392737092.png
194,1,1,1,0,11,3,5,6,79,1,0,8,2,2,2,0,1,cs10029768046979445276.png
195,0,0,0,1,0,0,5,4,74,3,2,5,11,1,1,1,0,cs10029812482596167023.png
196,1,1,2,1,1,2,1,14,50,0,2,4,1,0,1,2,0,cs10029890181518123862.png
197,1,1,1,1,6,0,4,14,76,4,4,5,8,6,2,1,1,cs10029897738357536883.png
198,1,0,2,0,8,3,2,14,49,4,9,0,11,5,2,0,1,cs10029978251627498456.png
199,1,1,2,1,12,2,5,0,81,3,1,9,2,3,1,0,2,cs10030555579694401524.png
200,1,0,0,0,12,2,3,14,56,0,0,1,6,2,1,2,2,cs1003073925757097164.png
201,0,1,0,0,2,3,4,6,23,2,0,3,11,1,2,1,0,cs10030914253972151544.png
202,0,0,2,0,6,2,4,14,61,3,3,3,11,5,2,0,0,cs1003092147059499642.png
203,0,0,0,0,1,0,0,14,85,3,0,2,3,1,1,0,2,cs10030972971345525839.png
204,0,0,1,1,2,2,4,13,14,2,6,7,11,4,0,0,0,cs10031221298439688049.png
205,1,1,2,0,7,3,0,14,92,4,9,7,11,2,1,0,1,cs10031287808171233973.png
206,0,0,2,0,9,0,0,10,67,0,8,3,9,0,1,1,2,cs10031424663895019286.png
207,0,1,0,0,6,3,0,14,100,4,6,7,11,4,1,2,1,cs10031440121088603451.png
208,1,1,2,1,1,3,1,7,86,0,10,7,11,1,2,1,1,cs10031554512934550634.png
209,1,0,1,1,7,1,5,14,62,0,9,5,11,2,0,2,1,cs10031591109479768267.png
210,0,1,0,0,5,1,2,0,47,3,5,1,11,6,0,1,0,cs1003200527209704226.png
211,1,0,2,0,8,3,3,14,4,1,5,1,11,6,2,0,2,cs10032308658121718842.png
212,1,1,1,1,6,1,4,13,84,3,8,7,11,6,1,0,0,cs10032412278388075048.png
213,1,0,2,1,10,1,6,14,76,1,2,0,11,4,2,1,0,cs10032425126277376780.png
214,1,1,0,0,11,0,6,0,7,3,6,0,11,2,1,1,1,cs10032651003529718437.png
215,1,1,1,1,4,0,3,3,98,3,9,0,11,2,0,0,2,cs10032696090496517992.png
216,0,0,2,0,13,2,6,5,84,4,4,9,11,0,2,1,1,cs10032769739521946643.png
217,0,0,1,0,9,3,0,2,41,3,1,4,4,0,2,1,1,cs10032896661485981660.png
218,0,0,0,1,1,3,4,14,31,0,4,9,11,5,0,1,2,cs10033522059345509496.png
219,0,0,0,1,2,0,2,11,2,3,0,9,6,3,0,1,1,cs10033599123365357879.png
220,1,0,2,0,7,3,4,7,17,2,0,0,11,1,0,0,0,cs10033830700649393881.png
221,0,1,2,0,9,3,4,14,80,1,2,2,3,2,0,1,1,cs10033856992097064228.png
222,1,0,1,1,0,3,4,9,6,0,0,0,7,3,1,0,1,cs10034048893474044929.png
223,1,1,2,1,4,2,1,8,32,2,2,7,11,6,0,2,1,cs10034201503236727641.png
224,1,1,1,1,2,3,4,4,30,4,2,2,11,5,2,2,1,cs10034356589079696723.png
225,1,1,2,1,13,1,4,9,62,1,5,8,5,3,1,1,0,cs10034370577454462159.png
226,0,0,1,0,8,2,4,14,39,4,0,0,5,4,1,2,2,cs10034393606400820030.png
227,0,1,0,1,8,0,2,14,28,0,8,1,11,5,0,0,2,cs10034604585514388555.png
228,1,0,0,1,1,0,2,4,9,4,1,3,9,0,1,2,0,cs10034660431742620896.png
229,0,1,1,1,8,1,6,9,50,3,1,8,4,0,1,0,0,cs10035081059918822757.png
230,1,0,1,0,2,2,4,14,101,1,8,4,11,4,1,0,0,cs10035098587503817986.png
231,1,1,2,1,1,2,4,14,96,0,2,7,11,4,0,2,2,cs10035316151564645775.png
232,0,0,2,1,4,0,3,2,67,1,5,4,8,3,2,0,2,cs10035455574940323101.png
233,1,1,0,1,11,1,0,12,12,0,5,1,2,5,2,2,1,cs1003569234112871318.png
234,0,1,1,1,7,2,0,12,53,1,10,2,1,2,1,2,2,cs10035717743879117559.png
235,1,1,2,1,5,3,2,14,61,3,1,3,6,3,0,1,0,cs10035882735238161282.png
236,1,0,0,0,8,0,3,14,66,3,0,9,6,2,2,2,2,cs10035885397882690331.png
237,0,0,1,0,2,3,2,14,63,2,5,3,4,5,0,1,1,cs10035966350476217633.png
238,1,1,2,1,4,0,5,2,35,2,9,7,3,5,1,0,2,cs10036051218147916345.png
239,1,0,2,0,2,1,5,12,45,3,5,0,0,0,0,2,1,cs10036292168308093477.png
240,1,0,1,1,12,1,1,14,83,3,7,4,11,5,0,2,0,cs10036358399340743924.png
241,0,1,0,1,4,1,6,14,56,1,3,4,2,0,0,2,0,cs10036361087712927651.png
242,1,0,1,0,7,1,6,11,37,2,6,6,11,3,2,1,2,cs10036449507763893082.png
243,0,0,2,1,6,0,4,14,19,3,0,8,11,3,1,0,0,cs10036554417257088696.png
244,1,0,1,1,12,1,2,14,5,3,2,3,11,6,0,1,2,cs10036556564106588499.png
245,1,1,2,1,5,0,2,14,105,1,10,3,11,0,0,1,2,cs100367196602765414.png
246,0,1,1,0,5,2,0,13,64,2,6,4,11,6,0,1,1,cs10036919033545463738.png
247,1,0,2,1,1,1,3,10,62,1,9,9,4,6,2,2,0,cs10036965829350182014.png
248,1,0,1,0,0,1,4,9,47,3,2,6,11,1,1,2,0,cs10037057797167405276.png
249,1,0,0,1,12,2,6,14,80,3,1,3,11,4,0,2,1,cs10037077583385578448.png
250,0,1,2,0,11,2,5,14,96,4,6,8,1,6,2,2,0,cs1003719079133541301.png
251,1,1,0,1,11,1,5,14,38,3,9,3,11,2,2,1,1,cs10037251954321982245.png
252,1,1,2,1,1,0,2,14,93,4,6,1,11,3,1,0,0,cs10037355640088443490.png
253,0,1,0,1,1,3,6,1,49,1,2,0,1,1,2,1,1,cs10037465983654085531.png
254,0,0,2,1,10,2,2,14,10,1,9,6,2,2,0,1,0,cs10037604338827788097.png
255,1,1,1,0,7,2,3,10,99,3,1,1,5,1,0,2,1,cs10037784800291085982.png
256,0,1,0,1,11,3,3,13,35,3,7,2,11,2,1,1,1,cs10037851024635680470.png
257,1,1,0,0,6,2,1,14,56,0,8,1,0,6,2,2,2,cs10038186479626910501.png
258,1,0,2,1,5,1,4,12,36,3,2,1,11,0,0,1,2,cs10038306628093613167.png
259,0,0,0,0,3,3,4,14,78,0,2,3,11,2,0,1,2,cs10039123491313013785.png
260,1,1,2,0,12,2,3,13,86,2,1,6,11,4,1,1,0,cs10039153296142717554.png
261,0,1,1,0,4,3,1,9,110,3,9,3,11,3,2,0,0,cs10039316412144501511.png
262,1,1,2,1,2,2,0,14,39,2,3,1,3,6,0,2,0,cs10039468402708888851.png
263,1,1,2,1,5,1,1,0,15,2,1,6,0,6,2,2,2,cs10039600899695441241.png
264,1,1,2,1,8,2,3,14,3,4,5,1,11,3,1,2,1,cs10039736202793897688.png
265,1,0,1,0,10,0,6,14,22,3,7,1,11,0,0,2,2,cs10039960768569580400.png
266,0,0,0,1,5,2,2,14,12,0,5,8,11,4,1,1,2,cs10040000684497593417.png
267,1,1,0,0,0,2,2,11,42,1,0,8,11,2,0,0,0,cs1004010402323573094.png
268,1,1,0,0,0,3,0,9,63,1,7,2,11,4,0,1,0,cs10040200983025639374.png
269,0,0,0,0,4,3,6,10,74,0,10,7,11,1,2,2,1,cs10040234401578376687.png
270,1,0,0,1,0,2,5,10,95,0,7,1,11,6,2,1,0,cs10040288936490906599.png
271,1,0,0,1,11,2,5,10,41,0,7,1,11,2,0,2,2,cs10040327203301554357.png
272,0,1,2,0,8,1,3,5,49,4,5,1,8,0,1,2,2,cs10040532560773687008.png
273,0,1,2,1,2,3,2,2,44,0,10,2,11,1,2,1,0,cs10040833680127733782.png
274,0,1,0,1,6,0,5,4,92,1,2,5,11,2,2,2,1,cs1004093965691077765.png
275,1,0,2,0,9,2,3,5,80,4,6,7,11,2,2,2,1,cs10041043183341837913.png
276,1,1,2,0,13,1,6,1,80,1,2,5,6,2,1,2,0,cs10041071409513073584.png
277,1,0,1,0,6,1,3,14,74,3,6,1,9,3,2,0,1,cs10041306696654434298.png
278,1,1,0,1,9,3,1,2,16,0,4,8,11,5,0,2,1,cs10041404383102234156.png
279,0,0,1,1,7,1,5,10,95,3,3,0,11,1,2,1,1,cs10041479351581021316.png
280,1,1,1,1,12,1,1,1,9,4,0,6,4,3,0,0,1,cs10041622459478344342.png
281,1,1,1,0,4,2,2,8,47,3,7,1,7,4,1,1,1,cs10041729807438914571.png
282,0,1,2,1,6,1,6,14,10,1,7,2,11,6,1,0,0,cs10041735287654397966.png
283,1,1,2,0,2,1,2,14,63,4,9,5,2,4,1,1,0,cs10041869250451337482.png
284,1,1,2,0,3,3,5,14,3,0,7,0,2,2,1,2,0,cs10042083224643171946.png
285,0,0,1,1,4,2,3,9,77,0,4,1,5,0,1,1,1,cs10042239137684375659.png
